Price,Close,High,Low,Open,Volume,label
Ticker,FLOKI-USD,FLOKI-USD,FLOKI-USD,FLOKI-USD,FLOKI-USD,0
2024-03-29,0.00023999999393709004,0.00025400001322850585,0.00023700000019744039,0.0002519999979995191,378038337,0
2024-03-30,0.00024300000222865492,0.0002589999930933118,0.00023499999952036887,0.00023999999393709004,548546144,0
2024-03-31,0.0002479999966453761,0.0002579999854788184,0.00024199999461416155,0.00024300000222865492,412030294,0
2024-04-01,0.00023299999884329736,0.0002479999966453761,0.00022499999613501132,0.0002479999966453761,356948139,0
2024-04-02,0.00020900000527035445,0.00023299999884329736,0.00020500000391621143,0.00023299999884329736,327834679,0
2024-04-03,0.0001990000018849969,0.00021499999274965376,0.00019500000053085387,0.00020900000527035445,251358043,0
2024-04-04,0.0002010000025620684,0.0002099999983329326,0.0001939999929163605,0.0001990000018849969,221153823,0
2024-04-05,0.0001880000054370612,0.00020199999562464654,0.00018600000475998968,0.0002010000025620684,176919582,0
2024-04-06,0.00019500000053085387,0.00019799999427050352,0.00018699999782256782,0.0001880000054370612,150660065,0
2024-04-07,0.00020599999697878957,0.0002119999990100041,0.0001939999929163605,0.00019500000053085387,249158943,0
2024-04-08,0.00021499999274965376,0.00022200000239536166,0.00019999999494757503,0.00020599999697878957,223658844,0
2024-04-09,0.0001990000018849969,0.00021600000036414713,0.000195999993593432,0.00021499999274965376,175769367,0
2024-04-10,0.00019799999427050352,0.00019999999494757503,0.00018600000475998968,0.0001990000018849969,188404331,0
2024-04-11,0.00019200000679120421,0.00020199999562464654,0.0001900000061141327,0.00019799999427050352,162933887,0
2024-04-12,0.00015900000289548188,0.00019799999427050352,0.00013800000306218863,0.00019200000679120421,303719242,0
2024-04-13,0.0001340000017080456,0.0001610000035725534,0.0001140000022132881,0.00015900000289548188,360526346,0
2024-04-14,0.00015100000018719584,0.00015300000086426735,0.0001289999927394092,0.0001340000017080456,304664350,0
2024-04-15,0.0001429999974789098,0.00015900000289548188,0.00013699999544769526,0.00015100000018719584,225436362,0
2024-04-16,0.00014200000441633165,0.0001449999981559813,0.0001340000017080456,0.0001429999974789098,192709387,0
